               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.042031,            0.049842,            0.015814,             0.13231,             0.21366,            0.096217,            0.038683,            0.065166,            0.064117,              0.0401,            0.007525,            0.007525,            0.007525
                  52,             0.04176,            0.043287,            0.015395,              0.1827,             0.24054,             0.13135,            0.060531,            0.067197,            0.067062,            0.035767,           0.0074755,           0.0074755,           0.0074755
                  53,            0.042166,            0.046459,            0.014304,             0.22238,             0.19173,             0.12876,            0.059492,            0.063661,            0.064453,            0.037213,            0.007426,            0.007426,            0.007426
                  54,            0.043672,            0.046055,            0.015228,             0.24184,             0.15474,             0.12435,            0.063186,            0.064857,            0.070312,            0.036761,           0.0073765,           0.0073765,           0.0073765
                  55,            0.040483,            0.045238,            0.014879,             0.21034,             0.18478,             0.12115,            0.055468,            0.066463,            0.066101,             0.04176,            0.007327,            0.007327,            0.007327
                  56,            0.041729,            0.049624,            0.014181,             0.22451,             0.16103,             0.11619,            0.061087,            0.065072,            0.062271,            0.040076,           0.0072775,           0.0072775,           0.0072775
                  57,            0.041669,            0.047996,             0.01454,             0.26821,             0.12453,             0.09912,            0.055567,            0.068837,            0.066132,            0.046423,            0.007228,            0.007228,            0.007228
                  58,            0.041408,            0.045522,            0.014926,             0.16374,             0.15502,            0.084516,            0.044841,            0.070653,            0.065613,             0.04364,           0.0071785,           0.0071785,           0.0071785
                  59,            0.041443,            0.044646,            0.013885,             0.16484,              0.1843,             0.09509,            0.048047,             0.06358,            0.061966,             0.04082,            0.007129,            0.007129,            0.007129
                  60,             0.04014,            0.046108,            0.015344,             0.16096,             0.22648,             0.11344,            0.053726,            0.066234,            0.060989,            0.039557,           0.0070795,           0.0070795,           0.0070795
                  61,             0.04047,             0.04574,             0.01414,             0.19307,              0.2446,             0.13825,            0.059732,            0.065356,            0.062485,            0.039038,             0.00703,             0.00703,             0.00703
                  62,            0.039556,            0.045406,            0.013852,             0.27174,             0.21764,             0.15347,            0.073122,            0.064816,            0.063217,            0.036462,           0.0069805,           0.0069805,           0.0069805
                  63,            0.039314,             0.04443,            0.013856,             0.20626,             0.20834,             0.15326,            0.062667,            0.065684,            0.068542,            0.036096,            0.006931,            0.006931,            0.006931
                  64,            0.039775,            0.042842,             0.01359,             0.14486,             0.16363,              0.1199,            0.052079,            0.066375,            0.071106,            0.039996,           0.0068815,           0.0068815,           0.0068815
                  65,            0.041319,            0.045518,            0.013641,             0.11785,             0.14411,             0.10895,            0.047207,            0.066698,            0.071198,            0.042944,            0.006832,            0.006832,            0.006832
                  66,            0.039261,            0.044218,            0.013307,             0.35022,             0.16972,             0.14424,            0.062722,            0.068167,             0.07164,            0.040405,           0.0067825,           0.0067825,           0.0067825
                  67,            0.040718,            0.046636,            0.013104,             0.18135,             0.19746,             0.12195,            0.059611,              0.0699,            0.069656,            0.037036,            0.006733,            0.006733,            0.006733
                  68,            0.038635,            0.042923,            0.013166,             0.41619,               0.156,             0.18456,            0.073973,            0.070194,            0.067429,             0.03515,           0.0066835,           0.0066835,           0.0066835
                  69,             0.04044,            0.045502,            0.012067,             0.18455,             0.23187,             0.15335,             0.07015,            0.066983,              0.0672,            0.037598,            0.006634,            0.006634,            0.006634
                  70,            0.040711,            0.046062,            0.013416,             0.17546,             0.19409,             0.12493,            0.060349,            0.064574,            0.067291,            0.040015,           0.0065845,           0.0065845,           0.0065845
                  71,            0.039207,            0.043306,             0.01178,              0.2393,             0.18439,             0.11476,            0.053227,            0.062923,            0.070221,             0.04436,            0.006535,            0.006535,            0.006535
                  72,            0.038849,            0.043819,             0.01171,             0.16796,             0.21123,              0.1358,            0.060703,            0.062764,            0.069305,            0.038043,           0.0064855,           0.0064855,           0.0064855
